country,year,sex,age,suicides_no,population,suicide_rate
Czech Republic,2009,female,15-24 years,16,646079,2.476477335
Czech Republic,2009,female,25-34 years,18,827079,2.176333821
Czech Republic,2009,female,35-54 years,79,1428022,5.532127656
Czech Republic,2009,female,5-14 years,1,453948,0.220289549
Czech Republic,2009,female,55-74 years,78,1265312,6.164487494
Czech Republic,2009,female,75+ years,42,450517,9.322622676
Czech Republic,2009,male,15-24 years,81,685218,11.82105549
Czech Republic,2009,male,25-34 years,199,880108,22.61086139
Czech Republic,2009,male,35-54 years,476,1480738,32.14613254
Czech Republic,2009,male,5-14 years,2,479988,0.416677084
Czech Republic,2009,male,55-74 years,337,1100133,30.63265987
Czech Republic,2009,male,75+ years,135,240265,56.18795913
Czech Republic,2010,female,15-24 years,20,629937,3.174920667
Czech Republic,2010,female,25-34 years,26,805752,3.226799313
Czech Republic,2010,female,35-54 years,87,1445352,6.019294954
Czech Republic,2010,female,5-14 years,0,454268,0
Czech Republic,2010,female,55-74 years,84,1288749,6.517948802
Czech Republic,2010,female,75+ years,40,453417,8.821901252
Czech Republic,2010,male,15-24 years,94,665538,14.12391178
Czech Republic,2010,male,25-34 years,168,858416,19.57093064
Czech Republic,2010,male,35-54 years,473,1499075,31.55279089
Czech Republic,2010,male,5-14 years,1,479853,0.208397155
Czech Republic,2010,male,55-74 years,394,1121705,35.12509974
Czech Republic,2010,male,75+ years,115,243211,47.28404554
Czech Republic,2011,female,15-24 years,19,602033,3.155973178
Czech Republic,2011,female,25-34 years,28,771896,3.627431675
Czech Republic,2011,female,35-54 years,86,1456523,5.904472501
Czech Republic,2011,female,5-14 years,0,457594,0
Czech Republic,2011,female,55-74 years,77,1312571,5.866349325
Czech Republic,2011,female,75+ years,43,454906,9.452502275
Czech Republic,2011,male,15-24 years,120,632356,18.97665239
Czech Republic,2011,male,25-34 years,173,818695,21.13119049
Czech Republic,2011,male,35-54 years,500,1517715,32.9442616
Czech Republic,2011,male,5-14 years,2,483911,0.41329914
Czech Republic,2011,male,55-74 years,424,1152114,36.8019137
Czech Republic,2011,male,75+ years,118,246004,47.96669973
Czech Republic,2012,female,15-24 years,10,581629,1.719309044
Czech Republic,2012,female,25-34 years,22,750032,2.933208183
Czech Republic,2012,female,35-54 years,94,1471892,6.386338128
Czech Republic,2012,female,5-14 years,1,468843,0.213291016
Czech Republic,2012,female,55-74 years,106,1333013,7.951910446
Czech Republic,2012,female,75+ years,45,456859,9.849866151
Czech Republic,2012,male,15-24 years,84,609704,13.77717712
Czech Republic,2012,male,25-34 years,179,796162,22.48286153
Czech Republic,2012,male,35-54 years,538,1537251,34.99753781
Czech Republic,2012,male,5-14 years,3,495721,0.605179123
Czech Republic,2012,male,55-74 years,430,1173069,36.65598528
Czech Republic,2012,male,75+ years,146,248952,58.64584338
Czech Republic,2013,female,15-24 years,15,560391,2.676702517
Czech Republic,2013,female,25-34 years,30,729365,4.113166933
Czech Republic,2013,female,35-54 years,108,1488299,7.256606367
Czech Republic,2013,female,5-14 years,2,483804,0.413390547
Czech Republic,2013,female,55-74 years,92,1347862,6.825624582
Czech Republic,2013,female,75+ years,36,459282,7.838321554
Czech Republic,2013,male,15-24 years,108,586871,18.40268134
Czech Republic,2013,male,25-34 years,168,773130,21.72985138
Czech Republic,2013,male,35-54 years,485,1556338,31.16289649
Czech Republic,2013,male,5-14 years,5,510895,0.978674679
Czech Republic,2013,male,55-74 years,399,1188011,33.58554761
Czech Republic,2013,male,75+ years,129,252532,51.08263507
Czech Republic,2014,female,15-24 years,11,540106,2.036637253
Czech Republic,2014,female,25-34 years,26,711374,3.65489883
Czech Republic,2014,female,35-54 years,94,1509758,6.226163398
Czech Republic,2014,female,5-14 years,1,500027,0.199989201
Czech Republic,2014,female,55-74 years,107,1356408,7.888481932
Czech Republic,2014,female,75+ years,54,464061,11.63640125
Czech Republic,2014,male,15-24 years,84,565782,14.84670774
Czech Republic,2014,male,25-34 years,157,752372,20.8673369
Czech Republic,2014,male,35-54 years,467,1580637,29.54505051
Czech Republic,2014,male,5-14 years,1,527532,0.18956196
Czech Republic,2014,male,55-74 years,364,1197687,30.39191375
Czech Republic,2014,male,75+ years,123,257383,47.78870399
Czech Republic,2015,female,15-24 years,19,521060,3.646413081
Czech Republic,2015,female,25-34 years,20,698584,2.862934164
Czech Republic,2015,female,35-54 years,86,1528289,5.627207943
Czech Republic,2015,female,5-14 years,5,515457,0.970013018
Czech Republic,2015,female,55-74 years,80,1358421,5.889190465
Czech Republic,2015,female,75+ years,44,471092,9.340001528
Czech Republic,2015,male,15-24 years,58,546597,10.61110837
Czech Republic,2015,male,25-34 years,151,737221,20.48232484
Czech Republic,2015,male,35-54 years,404,1602521,25.21027806
Czech Republic,2015,male,5-14 years,2,543129,0.368236644
Czech Republic,2015,male,55-74 years,373,1202553,31.01734393
Czech Republic,2015,male,75+ years,145,264401,54.84094236
Czech Republic,2016,female,15-24 years,22,502574,4.377464811
Czech Republic,2016,female,25-34 years,34,691963,4.913557517
Czech Republic,2016,female,35-54 years,91,1541109,5.904838658
Czech Republic,2016,female,5-14 years,0,527513,0
Czech Republic,2016,female,55-74 years,86,1358948,6.328424634
Czech Republic,2016,female,75+ years,25,480884,5.198758952
Czech Republic,2016,male,15-24 years,78,527890,14.77580557
Czech Republic,2016,male,25-34 years,137,729199,18.78773833
Czech Republic,2016,male,35-54 years,386,1617906,23.85799917
Czech Republic,2016,male,5-14 years,0,555376,0
Czech Republic,2016,male,55-74 years,319,1205832,26.45476318
Czech Republic,2016,male,75+ years,140,273637,51.16267171
Hungary,2000,female,15-24 years,29,721347,4.020256548
Hungary,2000,female,25-34 years,47,717781,6.547958221
Hungary,2000,female,35-54 years,256,1433302,17.86085556
Hungary,2000,female,5-14 years,3,588533,0.50974202
Hungary,2000,female,55-74 years,272,1153021,23.59020347
Hungary,2000,female,75+ years,199,387228,51.39091181
Hungary,2000,male,15-24 years,132,754097,17.50437941
Hungary,2000,male,25-34 years,302,747288,40.41279935
Hungary,2000,male,35-54 years,1090,1373290,79.37143648
Hungary,2000,male,5-14 years,8,616642,1.297349191
Hungary,2000,male,55-74 years,659,845819,77.91265034
Hungary,2000,male,75+ years,272,188686,144.1548393
Hungary,2001,female,15-24 years,31,713068,4.347411467
Hungary,2001,female,25-34 years,38,742972,5.11459382
Hungary,2001,female,35-54 years,241,1459506,16.5124364
Hungary,2001,female,5-14 years,1,582764,0.171596049
Hungary,2001,female,55-74 years,228,1190022,19.15930966
Hungary,2001,female,75+ years,157,419870,37.39252626
Hungary,2001,male,15-24 years,132,745448,17.70747255
Hungary,2001,male,25-34 years,254,767594,33.09040977
Hungary,2001,male,35-54 years,1038,1388219,74.77206406
Hungary,2001,male,5-14 years,3,610320,0.491545419
Hungary,2001,male,55-74 years,579,879449,65.83667728
Hungary,2001,male,75+ years,276,205366,134.3942035
Hungary,2002,female,15-24 years,25,692093,3.612231304
Hungary,2002,female,25-34 years,41,761375,5.384994254
Hungary,2002,female,35-54 years,248,1453102,17.0669368
Hungary,2002,female,5-14 years,3,570215,0.526117342
Hungary,2002,female,55-74 years,181,1190173,15.20787314
Hungary,2002,female,75+ years,149,430724,34.59291797
Hungary,2002,male,15-24 years,123,722619,17.02141793
Hungary,2002,male,25-34 years,232,787190,29.4719191
Hungary,2002,male,35-54 years,997,1382754,72.10248533
Hungary,2002,male,5-14 years,4,598250,0.668616799
Hungary,2002,male,55-74 years,582,881937,65.99110821
Hungary,2002,male,75+ years,254,209732,121.1069365
Hungary,2003,female,15-24 years,23,672145,3.421880695
Hungary,2003,female,25-34 years,33,772722,4.270617376
Hungary,2003,female,35-54 years,211,1446346,14.58848713
Hungary,2003,female,5-14 years,0,557602,0
Hungary,2003,female,55-74 years,214,1196595,17.88407941
Hungary,2003,female,75+ years,159,440470,36.09780462
Hungary,2003,male,15-24 years,101,701620,14.39525669
Hungary,2003,male,25-34 years,231,799322,28.89949232
Hungary,2003,male,35-54 years,939,1377798,68.15222551
Hungary,2003,male,5-14 years,8,585286,1.366853128
Hungary,2003,male,55-74 years,645,888834,72.56698101
Hungary,2003,male,75+ years,236,213793,110.3871502
Hungary,2004,female,15-24 years,21,655267,3.204800486
Hungary,2004,female,25-34 years,45,781012,5.761755261
Hungary,2004,female,35-54 years,243,1440339,16.87102828
Hungary,2004,female,5-14 years,2,544457,0.367338468
Hungary,2004,female,55-74 years,198,1204796,16.43431751
Hungary,2004,female,75+ years,146,450461,32.41124093
Hungary,2004,male,15-24 years,111,683254,16.24578854
Hungary,2004,male,25-34 years,233,809225,28.79298094
Hungary,2004,male,35-54 years,933,1374752,67.86678615
Hungary,2004,male,5-14 years,5,571353,0.875115734
Hungary,2004,male,55-74 years,543,896983,60.53626434
Hungary,2004,male,75+ years,262,218145,120.1036008
Hungary,2005,female,15-24 years,17,643025,2.643754131
Hungary,2005,female,25-34 years,38,786160,4.833621655
Hungary,2005,female,35-54 years,214,1431293,14.95151587
Hungary,2005,female,5-14 years,0,531081,0
Hungary,2005,female,55-74 years,203,1213827,16.72396478
Hungary,2005,female,75+ years,121,460429,26.27983902
Hungary,2005,male,15-24 years,80,669313,11.95255434
Hungary,2005,male,25-34 years,215,816243,26.34019526
Hungary,2005,male,35-54 years,912,1370704,66.53515274
Hungary,2005,male,5-14 years,5,557376,0.897060512
Hungary,2005,male,55-74 years,545,906718,60.10689101
Hungary,2005,male,75+ years,269,222774,120.7501773
Hungary,2006,female,15-24 years,15,634608,2.363663868
Hungary,2006,female,25-34 years,52,788769,6.592551178
Hungary,2006,female,35-54 years,227,1421095,15.97359782
Hungary,2006,female,5-14 years,1,517602,0.193198635
Hungary,2006,female,55-74 years,187,1224334,15.27360998
Hungary,2006,female,75+ years,118,469796,25.11728495
Hungary,2006,male,15-24 years,84,659708,12.73290607
Hungary,2006,male,25-34 years,196,820042,23.90121482
Hungary,2006,male,35-54 years,825,1366901,60.3555049
Hungary,2006,male,5-14 years,2,543679,0.367864126
Hungary,2006,male,55-74 years,550,917547,59.94243347
Hungary,2006,male,75+ years,204,227029,89.85636196
Hungary,2007,female,15-24 years,12,627355,1.912792597
Hungary,2007,female,25-34 years,32,787885,4.061506438
Hungary,2007,female,35-54 years,196,1412746,13.87368996
Hungary,2007,female,5-14 years,0,505214,0
Hungary,2007,female,55-74 years,199,1235077,16.11235575
Hungary,2007,female,75+ years,132,478370,27.59370362
Hungary,2007,male,15-24 years,77,652277,11.80480072
Hungary,2007,male,25-34 years,190,820057,23.16912117
Hungary,2007,male,35-54 years,791,1364796,57.95737971
Hungary,2007,male,5-14 years,2,531164,0.376531542
Hungary,2007,male,55-74 years,567,927533,61.1299005
Hungary,2007,male,75+ years,252,230464,109.3446265
Hungary,2008,female,15-24 years,18,620679,2.900049784
Hungary,2008,female,25-34 years,40,783195,5.107284904
Hungary,2008,female,35-54 years,193,1402042,13.76563612
Hungary,2008,female,5-14 years,0,494614,0
Hungary,2008,female,55-74 years,187,1248557,14.97728978
Hungary,2008,female,75+ years,128,486526,26.30897424
Hungary,2008,male,15-24 years,76,645909,11.76636337
Hungary,2008,male,25-34 years,183,815714,22.4343336
Hungary,2008,male,35-54 years,794,1360689,58.35279039
Hungary,2008,male,5-14 years,4,520680,0.768226166
Hungary,2008,male,55-74 years,590,940519,62.73132175
Hungary,2008,male,75+ years,263,233660,112.5567063
Hungary,2009,female,15-24 years,19,615144,3.088707685
Hungary,2009,female,25-34 years,42,770068,5.454063797
Hungary,2009,female,35-54 years,191,1390659,13.73449566
Hungary,2009,female,5-14 years,4,485140,0.824504267
Hungary,2009,female,55-74 years,212,1270295,16.6890368
Hungary,2009,female,75+ years,91,493507,18.43945476
Hungary,2009,male,15-24 years,111,641509,17.30295288
Hungary,2009,male,25-34 years,188,802616,23.42340546
Hungary,2009,male,35-54 years,773,1356600,56.98068701
Hungary,2009,male,5-14 years,3,511177,0.586880865
Hungary,2009,male,55-74 years,612,961155,63.67339295
Hungary,2009,male,75+ years,214,236367,90.53717312
Hungary,2010,female,15-24 years,20,607500,3.29218107
Hungary,2010,female,25-34 years,37,748440,4.943616055
Hungary,2010,female,35-54 years,170,1386313,12.26274297
Hungary,2010,female,5-14 years,1,477532,0.20941005
Hungary,2010,female,55-74 years,210,1293957,16.22928737
Hungary,2010,female,75+ years,109,499021,21.84276814
Hungary,2010,male,15-24 years,77,635049,12.12504862
Hungary,2010,male,25-34 years,190,780872,24.33177268
Hungary,2010,male,35-54 years,760,1360114,55.87766908
Hungary,2010,male,5-14 years,2,503475,0.397239188
Hungary,2010,male,55-74 years,671,983463,68.22829125
Hungary,2010,male,75+ years,242,238269,101.5658772
Hungary,2011,female,15-24 years,16,595635,2.686208836
Hungary,2011,female,25-34 years,22,727841,3.022638186
Hungary,2011,female,35-54 years,182,1388027,13.11213687
Hungary,2011,female,5-14 years,3,473510,0.633566345
Hungary,2011,female,55-74 years,229,1312734,17.44450894
Hungary,2011,female,75+ years,122,503846,24.21374785
Hungary,2011,male,15-24 years,87,623854,13.9455706
Hungary,2011,male,25-34 years,173,758588,22.80552817
Hungary,2011,male,35-54 years,751,1370341,54.80387728
Hungary,2011,male,5-14 years,3,499293,0.600849601
Hungary,2011,male,55-74 years,632,1001836,63.08417745
Hungary,2011,male,75+ years,200,239506,83.5052149
Hungary,2012,female,15-24 years,15,586456,2.557736642
Hungary,2012,female,25-34 years,28,664791,4.21185004
Hungary,2012,female,35-54 years,160,1408223,11.36183687
Hungary,2012,female,5-14 years,0,470870,0
Hungary,2012,female,55-74 years,219,1343763,16.29751675
Hungary,2012,female,75+ years,124,498354,24.88191125
Hungary,2012,male,15-24 years,82,618784,13.25179707
Hungary,2012,male,25-34 years,148,685537,21.58891497
Hungary,2012,male,35-54 years,683,1396201,48.91845802
Hungary,2012,male,5-14 years,2,497525,0.40198985
Hungary,2012,male,55-74 years,655,1049911,62.38624036
Hungary,2012,male,75+ years,233,232766,100.1005301
Hungary,2013,female,15-24 years,12,576334,2.082125989
Hungary,2013,female,25-34 years,31,642913,4.821803261
Hungary,2013,female,35-54 years,155,1416711,10.94083409
Hungary,2013,female,5-14 years,1,471456,0.212108871
Hungary,2013,female,55-74 years,200,1349472,14.82061132
Hungary,2013,female,75+ years,106,503084,21.07003999
Hungary,2013,male,15-24 years,60,608253,9.864316329
Hungary,2013,male,25-34 years,107,664876,16.09322641
Hungary,2013,male,35-54 years,613,1409798,43.48140656
Hungary,2013,male,5-14 years,0,497640,0
Hungary,2013,male,55-74 years,606,1058520,57.24974493
Hungary,2013,male,75+ years,201,234783,85.61096843
Hungary,2014,female,15-24 years,8,564343,1.417577608
Hungary,2014,female,25-34 years,23,624055,3.685572586
Hungary,2014,female,35-54 years,152,1423878,10.67507188
Hungary,2014,female,5-14 years,0,473335,0
Hungary,2014,female,55-74 years,183,1351899,13.53651419
Hungary,2014,female,75+ years,81,508688,15.92331645
Hungary,2014,male,15-24 years,72,595596,12.08873129
Hungary,2014,male,25-34 years,130,648134,20.05758069
Hungary,2014,male,35-54 years,495,1422078,34.80821727
Hungary,2014,male,5-14 years,2,499483,0.400414028
Hungary,2014,male,55-74 years,600,1063532,56.41579191
Hungary,2014,male,75+ years,179,237767,75.28378623
Hungary,2015,female,15-24 years,15,551149,2.721587084
Hungary,2015,female,25-34 years,27,610907,4.419657984
Hungary,2015,female,35-54 years,132,1429644,9.233067813
Hungary,2015,female,5-14 years,1,473285,0.211289181
Hungary,2015,female,55-74 years,181,1350675,13.40070705
Hungary,2015,female,75+ years,123,514721,23.89644098
Hungary,2015,male,15-24 years,69,582471,11.84608332
Hungary,2015,male,25-34 years,129,637775,20.22656893
Hungary,2015,male,35-54 years,472,1432703,32.94472057
Hungary,2015,male,5-14 years,2,499016,0.400788752
Hungary,2015,male,55-74 years,496,1065443,46.55340548
Hungary,2015,male,75+ years,221,241730,91.42431639
Hungary,2016,female,15-24 years,14,536865,2.607731925
Hungary,2016,female,25-34 years,30,602785,4.976898894
Hungary,2016,female,35-54 years,121,1432415,8.447272613
Hungary,2016,female,5-14 years,0,470109,0
Hungary,2016,female,55-74 years,161,1346205,11.95954554
Hungary,2016,female,75+ years,120,521024,23.0315686
Hungary,2016,male,15-24 years,58,568065,10.2100992
Hungary,2016,male,25-34 years,98,633114,15.47904485
Hungary,2016,male,35-54 years,450,1439105,31.26943482
Hungary,2016,male,5-14 years,1,495244,0.201920669
Hungary,2016,male,55-74 years,495,1064355,46.50703947
Hungary,2016,male,75+ years,214,246437,86.83760961
Iceland,2000,female,15-24 years,1,21102,4.738887309
Iceland,2000,female,25-34 years,0,20451,0
Iceland,2000,female,35-54 years,4,37863,10.56440324
Iceland,2000,female,5-14 years,0,21521,0
Iceland,2000,female,55-74 years,3,20653,14.52573476
Iceland,2000,female,75+ years,0,8330,0
Iceland,2000,male,15-24 years,13,21730,59.82512655
Iceland,2000,male,25-34 years,13,20851,62.34712963
Iceland,2000,male,35-54 years,10,39024,25.62525625
Iceland,2000,male,5-14 years,0,22548,0
Iceland,2000,male,55-74 years,6,19771,30.34747863
Iceland,2000,male,75+ years,0,5879,0
Iceland,2001,female,15-24 years,0,21182,0
Iceland,2001,female,25-34 years,2,20597,9.710151964
Iceland,2001,female,35-54 years,5,38708,12.91722641
Iceland,2001,female,5-14 years,0,21737,0
Iceland,2001,female,55-74 years,1,21059,4.74856356
Iceland,2001,female,75+ years,0,8552,0
Iceland,2001,male,15-24 years,8,21707,36.85447091
Iceland,2001,male,25-34 years,5,21119,23.67536342
Iceland,2001,male,35-54 years,9,39779,22.62500314
Iceland,2001,male,5-14 years,0,22929,0
Iceland,2001,male,55-74 years,4,20268,19.73554371
Iceland,2001,male,75+ years,2,6101,32.78151123
Iceland,2002,female,15-24 years,1,21091,4.741358873
Iceland,2002,female,25-34 years,2,20483,9.764194698
Iceland,2002,female,35-54 years,4,39430,10.14455998
Iceland,2002,female,5-14 years,0,21996,0
Iceland,2002,female,55-74 years,2,21481,9.310553512
Iceland,2002,female,75+ years,1,8798,11.3662196
Iceland,2002,male,15-24 years,3,21620,13.8760407
Iceland,2002,male,25-34 years,7,20997,33.33809592
Iceland,2002,male,35-54 years,4,40266,9.933939304
Iceland,2002,male,5-14 years,0,23134,0
Iceland,2002,male,55-74 years,6,20853,28.77283844
Iceland,2002,male,75+ years,0,6306,0
Iceland,2003,female,15-24 years,0,21105,0
Iceland,2003,female,25-34 years,1,20281,4.930723337
Iceland,2003,female,35-54 years,1,39836,2.510292198
Iceland,2003,female,5-14 years,0,21939,0
Iceland,2003,female,55-74 years,4,22054,18.13729936
Iceland,2003,female,75+ years,0,9063,0
Iceland,2003,male,15-24 years,5,21857,22.87596651
Iceland,2003,male,25-34 years,1,20791,4.80977346
Iceland,2003,male,35-54 years,8,40516,19.74528581
Iceland,2003,male,5-14 years,0,22892,0
Iceland,2003,male,55-74 years,6,21464,27.95378308
Iceland,2003,male,75+ years,0,6532,0
Iceland,2004,female,15-24 years,1,21091,4.741358873
Iceland,2004,female,25-34 years,4,20526,19.48747929
Iceland,2004,female,35-54 years,2,40199,4.975248141
Iceland,2004,female,5-14 years,0,21899,0
Iceland,2004,female,55-74 years,2,22573,8.860142648
Iceland,2004,female,75+ years,0,9282,0
Iceland,2004,male,15-24 years,6,21991,27.28388886
Iceland,2004,male,25-34 years,4,21106,18.95195679
Iceland,2004,male,35-54 years,9,41248,21.81923972
Iceland,2004,male,5-14 years,0,22791,0
Iceland,2004,male,55-74 years,4,22162,18.04891255
Iceland,2004,male,75+ years,3,6720,44.64285714
Iceland,2005,female,15-24 years,0,21198,0
Iceland,2005,female,25-34 years,0,20904,0
Iceland,2005,female,35-54 years,6,40540,14.80019734
Iceland,2005,female,5-14 years,0,21721,0
Iceland,2005,female,55-74 years,3,23186,12.9388424
Iceland,2005,female,75+ years,0,9566,0
Iceland,2005,male,15-24 years,3,22100,13.57466063
Iceland,2005,male,25-34 years,6,21570,27.81641168
Iceland,2005,male,35-54 years,10,41539,24.07376201
Iceland,2005,male,5-14 years,0,22712,0
Iceland,2005,male,55-74 years,5,22932,21.80359323
Iceland,2005,male,75+ years,0,6961,0
Iceland,2006,female,15-24 years,0,21657,0
Iceland,2006,female,25-34 years,1,21650,4.618937644
Iceland,2006,female,35-54 years,6,40957,14.64951046
Iceland,2006,female,5-14 years,0,21538,0
Iceland,2006,female,55-74 years,3,23797,12.60663109
Iceland,2006,female,75+ years,0,9927,0
Iceland,2006,male,15-24 years,6,22771,26.34930394
Iceland,2006,male,25-34 years,2,23135,8.644910309
Iceland,2006,male,35-54 years,10,44013,22.72055983
Iceland,2006,male,5-14 years,0,22494,0
Iceland,2006,male,55-74 years,4,23812,16.79825298
Iceland,2006,male,75+ years,0,7248,0
Iceland,2007,female,15-24 years,1,22072,4.530627039
Iceland,2007,female,25-34 years,2,22098,9.050592814
Iceland,2007,female,35-54 years,1,41594,2.404192912
Iceland,2007,female,5-14 years,0,21535,0
Iceland,2007,female,55-74 years,2,24464,8.175277959
Iceland,2007,female,75+ years,1,10165,9.837678308
Iceland,2007,male,15-24 years,7,23231,30.13215101
Iceland,2007,male,25-34 years,6,24445,24.54489671
Iceland,2007,male,35-54 years,12,45690,26.26395272
Iceland,2007,male,5-14 years,0,22312,0
Iceland,2007,male,55-74 years,2,24652,8.112932014
Iceland,2007,male,75+ years,3,7454,40.24684733
Iceland,2008,female,15-24 years,0,22861,0
Iceland,2008,female,25-34 years,2,22818,8.76501008
Iceland,2008,female,35-54 years,4,42525,9.406231628
Iceland,2008,female,5-14 years,0,21461,0
Iceland,2008,female,55-74 years,5,25254,19.79884375
Iceland,2008,female,75+ years,0,10302,0
Iceland,2008,male,15-24 years,4,24143,16.5679493
Iceland,2008,male,25-34 years,5,25691,19.46206843
Iceland,2008,male,35-54 years,10,46462,21.522965
Iceland,2008,male,5-14 years,0,22177,0
Iceland,2008,male,55-74 years,7,25539,27.40906065
Iceland,2008,male,75+ years,1,7603,13.15270288
Iceland,2009,female,15-24 years,0,22973,0
Iceland,2009,female,25-34 years,0,22959,0
Iceland,2009,female,35-54 years,6,42732,14.04099972
Iceland,2009,female,5-14 years,0,21382,0
Iceland,2009,female,55-74 years,1,26010,3.844675125
Iceland,2009,female,75+ years,0,10439,0
Iceland,2009,male,15-24 years,2,23991,8.336459506
Iceland,2009,male,25-34 years,6,24715,24.27675501
Iceland,2009,male,35-54 years,10,44805,22.31893762
Iceland,2009,male,5-14 years,0,22143,0
Iceland,2009,male,55-74 years,10,26267,38.07058286
Iceland,2009,male,75+ years,1,7788,12.84026708
Iceland,2010,female,15-24 years,1,22907,4.365477802
Iceland,2010,female,25-34 years,1,22558,4.433017111
Iceland,2010,female,35-54 years,5,42526,11.75751305
Iceland,2010,female,5-14 years,0,21185,0
Iceland,2010,female,55-74 years,3,26898,11.15324559
Iceland,2010,female,75+ years,0,10606,0
Iceland,2010,male,15-24 years,6,23905,25.0993516
Iceland,2010,male,25-34 years,8,23610,33.88394748
Iceland,2010,male,35-54 years,11,43584,25.23861968
Iceland,2010,male,5-14 years,1,21935,4.558924094
Iceland,2010,male,55-74 years,7,26976,25.9489917
Iceland,2010,male,75+ years,3,7930,37.83102144
Iceland,2011,female,15-24 years,1,22926,4.361859897
Iceland,2011,female,25-34 years,1,22337,4.476876931
Iceland,2011,female,35-54 years,1,42475,2.354326074
Iceland,2011,female,5-14 years,0,21068,0
Iceland,2011,female,55-74 years,2,27822,7.188555819
Iceland,2011,female,75+ years,0,10762,0
Iceland,2011,male,15-24 years,2,24083,8.304613213
Iceland,2011,male,25-34 years,5,23085,21.65908599
Iceland,2011,male,35-54 years,8,43120,18.5528757
Iceland,2011,male,5-14 years,1,21828,4.581271761
Iceland,2011,male,55-74 years,6,27936,21.47766323
Iceland,2011,male,75+ years,0,8033,0
Iceland,2012,female,15-24 years,2,22968,8.707767328
Iceland,2012,female,25-34 years,2,22249,8.989168052
Iceland,2012,female,35-54 years,3,42450,7.067137809
Iceland,2012,female,5-14 years,0,21068,0
Iceland,2012,female,55-74 years,4,28784,13.89660923
Iceland,2012,female,75+ years,0,10882,0
Iceland,2012,male,15-24 years,3,24210,12.39157373
Iceland,2012,male,25-34 years,7,22931,30.52636169
Iceland,2012,male,35-54 years,8,42696,18.73711823
Iceland,2012,male,5-14 years,0,21827,0
Iceland,2012,male,55-74 years,6,28966,20.71394048
Iceland,2012,male,75+ years,2,8207,24.36944072
Iceland,2013,female,15-24 years,0,22970,0
Iceland,2013,female,25-34 years,3,22445,13.36600579
Iceland,2013,female,35-54 years,5,42524,11.75806603
Iceland,2013,female,5-14 years,0,21275,0
Iceland,2013,female,55-74 years,3,29831,10.05665248
Iceland,2013,female,75+ years,3,10950,27.39726027
Iceland,2013,male,15-24 years,5,24215,20.64835846
Iceland,2013,male,25-34 years,7,23318,30.01972725
Iceland,2013,male,35-54 years,12,42535,28.21206066
Iceland,2013,male,5-14 years,0,22051,0
Iceland,2013,male,55-74 years,6,29974,20.01734837
Iceland,2013,male,75+ years,5,8368,59.75143403
Iceland,2014,female,15-24 years,2,22989,8.699812954
Iceland,2014,female,25-34 years,2,22708,8.807468733
Iceland,2014,female,35-54 years,4,42655,9.377564178
Iceland,2014,female,5-14 years,0,21544,0
Iceland,2014,female,55-74 years,2,30942,6.463706289
Iceland,2014,female,75+ years,1,11043,9.055510278
Iceland,2014,male,15-24 years,4,24185,16.53917718
Iceland,2014,male,25-34 years,9,23711,37.95706634
Iceland,2014,male,35-54 years,7,42731,16.38154969
Iceland,2014,male,5-14 years,0,22446,0
Iceland,2014,male,55-74 years,8,31027,25.78399459
Iceland,2014,male,75+ years,5,8491,58.88587917
Iceland,2015,female,15-24 years,0,22962,0
Iceland,2015,female,25-34 years,1,22913,4.364334657
Iceland,2015,female,35-54 years,2,42858,4.666573335
Iceland,2015,female,5-14 years,0,21738,0
Iceland,2015,female,55-74 years,6,32013,18.74238591
Iceland,2015,female,75+ years,2,11158,17.9243592
Iceland,2015,male,15-24 years,7,24116,29.02637253
Iceland,2015,male,25-34 years,6,24128,24.86737401
Iceland,2015,male,35-54 years,11,43119,25.5107957
Iceland,2015,male,5-14 years,0,22771,0
Iceland,2015,male,55-74 years,5,32159,15.54774713
Iceland,2015,male,75+ years,0,8619,0
Iceland,2016,female,15-24 years,0,22971,0
Iceland,2016,female,25-34 years,2,23233,8.608444884
Iceland,2016,female,35-54 years,0,43216,0
Iceland,2016,female,5-14 years,0,21967,0
Iceland,2016,female,55-74 years,2,32963,6.067408913
Iceland,2016,female,75+ years,0,11268,0
Iceland,2016,male,15-24 years,6,24099,24.89729864
Iceland,2016,male,25-34 years,8,25029,31.96292301
Iceland,2016,male,35-54 years,11,44024,24.98637107
Iceland,2016,male,5-14 years,0,23040,0
Iceland,2016,male,55-74 years,10,33247,30.07790177
Iceland,2016,male,75+ years,1,8723,11.46394589
Lithuania,2000,female,15-24 years,25,245035,10.20262411
Lithuania,2000,female,25-34 years,31,252324,12.28579128
Lithuania,2000,female,35-54 years,121,493992,24.49432379
Lithuania,2000,female,5-14 years,0,251399,0
Lithuania,2000,female,55-74 years,101,405061,24.93451604
Lithuania,2000,female,75+ years,36,124608,28.89060092
Lithuania,2000,male,15-24 years,131,252489,51.88344839
Lithuania,2000,male,25-34 years,221,249865,88.44776179
Lithuania,2000,male,35-54 years,595,451103,131.8989233
Lithuania,2000,male,5-14 years,6,262637,2.284521983
Lithuania,2000,male,55-74 years,324,276055,117.3679158
Lithuania,2000,male,75+ years,40,50557,79.11861859
Lithuania,2001,female,15-24 years,18,245848,7.321597084
Lithuania,2001,female,25-34 years,19,247712,7.670197649
Lithuania,2001,female,35-54 years,113,496684,22.75088386
Lithuania,2001,female,5-14 years,1,241864,0.413455496
Lithuania,2001,female,55-74 years,87,402028,21.64028376
